Ref,Val,Package,PosX,PosY,Rot,Side
"G***","LOGO","test1",-128.020000,-133.040000,180.000000,bottom
"G***","LOGO","test1",-228.040000,-135.040000,180.000000,bottom
">NAME","","stickbox_alps",96.394000,-118.819000,0.000000,top
">NAME","","stickbox_alps",158.644000,-139.569000,0.000000,top
"C1","100n","C_0402_1005Metric",154.250000,-106.025000,0.000000,top
"C2","1u","C_0402_1005Metric",144.350000,-113.975000,180.000000,top
"C3","6.3V 47uF","CP_EIA-3216-18_Kemet-A",125.747500,-107.270000,0.000000,top
"C9","100n","C_0402_1005Metric",141.250000,-109.850000,90.000000,top
"C10","100n","C_0402_1005Metric",132.770000,-116.240000,180.000000,top
"C11","100n","C_0402_1005Metric",141.180000,-119.180000,0.000000,top
"C13","1u","C_0402_1005Metric",142.240000,-117.510000,-90.000000,top
"C15","0.047u","C_0603_HandSoldering",101.325000,-130.275000,90.000000,top
"C16","0.047u","C_0603_HandSoldering",113.800000,-119.480000,90.000000,top
"C17","0.047u","C_0603_HandSoldering",148.540000,-148.940000,-90.000000,top
"C18","0.047u","C_0603_HandSoldering",155.956000,-129.794000,180.000000,top
"C19","0.047u","C_0603_1608Metric",134.300000,-124.025000,180.000000,top
"C20","0.047u","C_0603_1608Metric",130.325000,-124.050000,180.000000,top
"C21","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",168.444000,-142.654000,180.000000,top
"C22","10u","C_0603_1608Metric",116.390000,-113.580000,180.000000,top
"C23","10u","C_0603_1608Metric",144.460000,-106.890000,90.000000,top
"C31","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",106.124000,-122.044000,180.000000,top
"C32","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",155.724000,-149.324000,90.000000,top
"C33","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",93.054000,-128.671500,90.000000,top
"D1","M7C","D_SOD-123",116.400000,-110.250000,180.000000,top
"D2","MBR0520","D_SOD-323",123.910000,-109.340000,0.000000,top
"D4","D_Small","D_SOD-323",134.620000,-135.350000,-90.000000,top
"D5","D_Small","D_SOD-323",137.000000,-133.460000,-90.000000,top
"D6","D_Small","D_SOD-323",139.430000,-131.930000,-90.000000,top
"D7","D_Small","D_SOD-323",141.630000,-130.670000,-90.000000,top
"D8","MBR0520","D_SOD-323",142.500000,-106.720000,90.000000,top
"F1","Fuse","Fuse_1206_3216Metric",162.250000,-123.192500,180.000000,top
"J1","Rumble","rumble_pins",93.658000,-138.678000,-90.000000,top
"J3","To Button Board","molex_5051101492_14P",96.750000,-141.925000,0.000000,top
"J4","Conn_01x06_Female","GCC_Header_Straight_1x06_Pitch2.00mm",121.970000,-102.930000,90.000000,top
"J6","Conn_01x03_Male","PinHeader_1x01_P2.54mm_Vertical",161.100000,-106.250000,0.000000,top
"J7","Rumble","rumble_pins",179.761000,-142.781000,90.000000,top
"J9","USB_C_Receptacle","Shou Han Type-C 24P QCHT",138.460000,-90.975000,180.000000,top
"Q1","Q_PMOS_GDS","SOT-23",116.225000,-107.250000,180.000000,top
"Q2","Q_NMOS_GSD","SOT-23",111.575000,-110.900000,90.000000,top
"Q3","Q_NMOS_GSD","SOT-23",159.125000,-120.392500,-90.000000,top
"R1","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",119.050000,-107.325000,90.000000,top
"R2","100R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",113.538000,-109.220000,-90.000000,top
"R3","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",119.875000,-111.250000,90.000000,top
"R4","100R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",161.925000,-120.392500,90.000000,top
"R5","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",164.050000,-120.367500,90.000000,top
"R6","10k","R_0402_1005Metric",135.580000,-125.520000,180.000000,top
"R7","10k","R_0402_1005Metric",133.680000,-125.510000,180.000000,top
"R8","5.1k","R_0603_1608_DNP",145.330000,-103.750000,-90.000000,top
"R9","5.1k","R_0603_1608_DNP",132.100000,-100.240000,180.000000,top
"R12","10k","R_0402_1005Metric",131.680000,-125.510000,180.000000,top
"R13","10k","R_0402_1005Metric",129.830000,-125.500000,180.000000,top
"R14","1k","C_0402_1005Metric",147.200000,-106.050000,0.000000,top
"R15","2k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",98.504000,-131.824000,180.000000,top
"R16","2k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",109.200000,-118.706500,90.000000,top
"R17","2k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",151.454000,-149.234000,0.000000,top
"R18","2k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",169.184000,-134.534000,-90.000000,top
"R19","1k","R_0402_1005Metric",132.575000,-114.775000,0.000000,top
"R29","27","R_0402_1005Metric",144.450000,-115.050000,180.000000,top
"R30","27","R_0402_1005Metric",144.425000,-116.225000,180.000000,top
"REF**","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",84.870000,-139.330000,0.000000,top
"REF**","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",188.150000,-146.280000,0.000000,top
"S1","BOOTSEL","SW_TS-1187A-B-A-B",161.442500,-115.320000,180.000000,top
"SW1","SW_DIP_x04","C54962_4pos",123.050000,-129.475000,-90.000000,top
"U2","2x DRV5053CAQLPGM Hall Effect Sensors","GCC_Stickbox_2",96.419000,-118.794000,180.000000,top
"U3","Stickbox_Assembly","GCC_Stickbox_Hall_Only",158.644000,-139.569000,180.000000,top
"U6","MCP3002","SOIC-8_3.9x4.9mm_P1.27mm",124.275000,-115.200000,0.000000,top
"U7","DRV5055A2xDBZxQ1","SOT-23",105.090000,-118.770000,180.000000,top
"U8","DRV5055A2xDBZxQ1","SOT-23",167.380000,-139.560000,180.000000,top
"U9","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",150.275000,-109.425000,0.000000,top
"U10","DRV5055A2xDBZxQ1","SOT-23",96.420000,-127.430000,90.000000,top
"U11","DRV5055A2xDBZxQ1","SOT-23",158.630000,-148.430000,90.000000,top
"U12","MCP3002","SOIC-8_3.9x4.9mm_P1.27mm",150.540000,-117.890000,180.000000,top
"U14","XC6206PxxxMR","SOT-23",138.500000,-105.300000,180.000000,top
"U15","RP2040","RP2040-QFN-56",137.695000,-114.683579,-90.000000,top
"Y1","Crystal_GND3","Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm",130.500000,-115.275000,-90.000000,top
